drug	phenotype	max_phase_for_ind
CHEMBL1201468	D008593	4
CHEMBL1201572	D013345	1
CHEMBL622	D010146	4
CHEMBL464	D011565	4
CHEMBL1908360	D002277	3
CHEMBL1908360	D018281	2
CHEMBL1908360	D005909	2
CHEMBL1908360	D006528	2
CHEMBL1138	D024821	3
CHEMBL41355	D004827	4
CHEMBL1094	D004827	4
CHEMBL596	D000236	3
CHEMBL1201567	D008103	3
CHEMBL1201567	D007938	3
CHEMBL1501	D001943	2
CHEMBL185	D055623	Not Applicable
CHEMBL1676	D029424	4
CHEMBL1676	D008173	4
CHEMBL1473	D006255	4
CHEMBL1473	D009298	4
CHEMBL940	D011537	Not Applicable
CHEMBL939	D008175	Not Applicable
CHEMBL939	D002294	Not Applicable
CHEMBL888	D001943	4
CHEMBL888	D007938	2
CHEMBL1201506	D015470	3
CHEMBL472	D003920	4
CHEMBL1201833	D001172	Not Applicable
CHEMBL1201833	D025242	3
CHEMBL1201833	D003093	Not Applicable
CHEMBL1201509	D007246	3
CHEMBL1200908	D011565	4
CHEMBL1201438	D003093	1
CHEMBL398707	D010146	4
CHEMBL467	D013920	4
CHEMBL467	D011087	4
CHEMBL997	D010024	4
CHEMBL1873475	D008223	3
CHEMBL1873475	D008258	4
CHEMBL521	D020181	3
CHEMBL521	D020370	1
CHEMBL494	D029424	2
CHEMBL941	D054198	3
CHEMBL941	D007938	4
CHEMBL941	D012509	3
CHEMBL941	D055752	2
CHEMBL941	D012595	2
CHEMBL6	D013167	4
CHEMBL1201581	D006526	2
CHEMBL2104391	D003920	4
CHEMBL1201497	D003920	4
CHEMBL1201631	D001714	3
CHEMBL1201631	D014029	2
CHEMBL1201538	D003920	4
CHEMBL1201629	D003920	4
CHEMBL1201630	D003920	4
CHEMBL1201562	D020529	3
CHEMBL1201562	D003093	2
CHEMBL1201563	D020529	3
CHEMBL1789844	D002289	3
CHEMBL1789844	D010190	2
CHEMBL1621597	D015508	4
CHEMBL1513	D006937	3
CHEMBL547	D055623	2
