drug	phenotype	max_phase_for_ind
CHEMBL268313	D004890	4
CHEMBL268313	D005058	4
CHEMBL268313	D007172	4
CHEMBL297687	D007006	4
CHEMBL468	D011247	4
CHEMBL625	D001196	4
CHEMBL625	D004802	4
CHEMBL625	D005334	4
CHEMBL625	D006725	4
CHEMBL625	D007816	4
CHEMBL625	D014257	4
CHEMBL625	D017229	4
CHEMBL671	D008577	4
CHEMBL2355126	D012559	4
CHEMBL1190260	D004827	4
CHEMBL1190260	D012640	4
CHEMBL1190260	D004347	4
CHEMBL365795	D001172	4
CHEMBL365795	D010003	Not Applicable
CHEMBL833	D000380	4
CHEMBL833	D000741	4
CHEMBL833	D006402	4
CHEMBL833	D009503	4
CHEMBL833	D011697	4
CHEMBL173706	D000787	4
CHEMBL173706	D001281	4
CHEMBL173706	D005901	4
CHEMBL173706	D005902	4
CHEMBL173706	D006973	4
CHEMBL173706	D009203	4
CHEMBL173706	D009798	4
CHEMBL173706	D000075222	4
CHEMBL173706	D008881	4
CHEMBL173706	D017202	4
CHEMBL173706	D009449	4
CHEMBL173706	D020325	4
CHEMBL1220	D003141	4
CHEMBL1220	D004404	4
CHEMBL1220	D006561	4
CHEMBL1220	D008101	4
CHEMBL1220	D008107	4
CHEMBL1220	D012749	4
CHEMBL1220	D012141	4
CHEMBL1220	D014627	4
CHEMBL1220	D014848	4
CHEMBL1314	D006967	4
CHEMBL1079	D009103	4
CHEMBL1079	D013119	4
CHEMBL14440	D001424	4
CHEMBL14440	D001996	4
CHEMBL14440	D002494	4
CHEMBL14440	D003141	4
CHEMBL14440	D003550	4
CHEMBL14440	D003556	4
CHEMBL14440	D008581	4
CHEMBL14440	D009157	4
CHEMBL14440	D010538	4
CHEMBL14440	D011014	4
CHEMBL14440	D011704	4
CHEMBL14440	D012141	4
CHEMBL14440	D018805	4
CHEMBL14440	D013203	4
CHEMBL14440	D014552	4
CHEMBL14440	D018461	4
CHEMBL14440	D000071074	4
CHEMBL14440	D059413	4
CHEMBL14440	D034381	4
CHEMBL14440	D051437	4
CHEMBL817	D006943	4
CHEMBL817	D009765	4
CHEMBL782	D006943	4
CHEMBL782	D009765	4
CHEMBL319757	D053202	4
CHEMBL319757	D003704	4
CHEMBL319757	D053201	4
CHEMBL305801	D002289	4
CHEMBL305801	D005910	4
CHEMBL305801	D007938	4
CHEMBL305801	D009101	4
CHEMBL305801	D009447	4
CHEMBL305801	D012175	4
CHEMBL305801	D012208	4
CHEMBL305801	D055752	4
CHEMBL305801	D008175	4
CHEMBL305801	D010190	4
CHEMBL305801	D010051	4
CHEMBL305801	D012509	4
CHEMBL1237044	D010149	4
CHEMBL32573	D003139	4
CHEMBL32573	D006255	4
CHEMBL32573	D012220	4
CHEMBL24223	D000799	4
CHEMBL24223	D006331	4
CHEMBL24223	D006333	4
CHEMBL24223	D006973	4
CHEMBL24223	D006978	4
CHEMBL24223	D007511	4
CHEMBL24223	D009203	4
CHEMBL24223	D012078	4
CHEMBL24223	D000075222	4
CHEMBL24223	D018487	4
CHEMBL24223	D051437	4
CHEMBL292500	D000037	4
CHEMBL292500	D000799	4
CHEMBL292500	D001778	4
CHEMBL292500	D002532	4
CHEMBL292500	D003093	4
CHEMBL292500	D004844	4
CHEMBL292500	D006471	4
CHEMBL292500	D006470	4
CHEMBL292500	D006988	4
CHEMBL292500	D007674	4
CHEMBL292500	D007938	4
CHEMBL292500	D008107	4
CHEMBL292500	D008595	4
CHEMBL292500	D019106	4
CHEMBL292500	D006473	4
CHEMBL292500	D051437	4
CHEMBL292500	D010190	4
CHEMBL313833	D003866	4
CHEMBL313833	D006167	4
CHEMBL313833	D059020	4
CHEMBL621	D006167	4
CHEMBL621	D059020	4
CHEMBL621	D004347	4
CHEMBL1235644	D000013	4
CHEMBL1235644	D000152	4
CHEMBL1235644	D000163	4
CHEMBL1235644	D000437	4
CHEMBL1235644	D001249	4
CHEMBL1235644	D012878	4
CHEMBL1235644	D003483	4
CHEMBL1235644	D003920	4
CHEMBL1235644	D055623	4
CHEMBL1235644	D007911	4
CHEMBL1235644	D015473	4
CHEMBL1235644	D008548	4
CHEMBL1235644	D009765	4
CHEMBL1235644	D012514	4
CHEMBL1235644	D015595	4
CHEMBL1235644	D013405	4
CHEMBL1235644	D013684	4
CHEMBL1235644	D014456	4
CHEMBL1235644	D003863	4
CHEMBL1235644	D052439	4
CHEMBL1235644	D017495	4
CHEMBL1235644	D000069316	4
CHEMBL1235644	C554498	4
CHEMBL585	D004231	4
CHEMBL585	D011225	4
CHEMBL585	D011247	4
CHEMBL585	D004232	4
CHEMBL849	D003731	4
CHEMBL609	D003555	4
CHEMBL422	D000374	4
CHEMBL422	D000437	4
CHEMBL422	D001714	4
CHEMBL422	D002389	4
CHEMBL422	D003702	4
CHEMBL422	D006212	4
CHEMBL422	D008944	4
CHEMBL422	D009497	4
CHEMBL422	D012563	4
CHEMBL422	D001930	4
CHEMBL422	D000071057	4
CHEMBL422	D008607	4
CHEMBL1490	D001161	4
CHEMBL1490	D001480	4
CHEMBL1490	D020734	4
CHEMBL1201256	D005759	4
CHEMBL22	D003141	4
CHEMBL644	D003863	4
CHEMBL8197	D009325	4
CHEMBL8197	D014839	4
CHEMBL8197	D020250	4
CHEMBL1201344	D014549	4
CHEMBL1201344	D053202	4
CHEMBL1201344	D053201	4
CHEMBL593	D000126	4
CHEMBL1904197	D000787	4
CHEMBL1904197	D003920	4
CHEMBL1904197	D003928	4
CHEMBL1904197	D006333	4
CHEMBL1904197	D006949	4
CHEMBL1904197	D006973	4
CHEMBL1904197	D007022	4
CHEMBL1904197	D007674	4
CHEMBL1904197	D009203	4
CHEMBL1904197	D000075222	4
CHEMBL1904197	D018487	4
CHEMBL2448935	D002056	4
CHEMBL2448935	D003141	4
CHEMBL2448935	D003967	4
CHEMBL2448935	D004696	4
CHEMBL2448935	D004697	4
CHEMBL2448935	D004760	4
CHEMBL2448935	D006349	4
CHEMBL2448935	D010019	4
CHEMBL2448935	D011014	4
CHEMBL2448935	D018805	4
CHEMBL2448935	D013203	4
CHEMBL2448935	D018461	4
CHEMBL2448935	D004761	4
CHEMBL637	D000379	4
CHEMBL637	D002637	4
CHEMBL637	D003861	4
CHEMBL637	D003863	Not Applicable
CHEMBL637	D004244	4
CHEMBL637	D019966	Not Applicable
CHEMBL637	D004417	4
CHEMBL637	D005221	4
CHEMBL637	D005239	4
CHEMBL637	D006167	4
CHEMBL637	D007508	4
CHEMBL637	D009325	4
CHEMBL637	D010292	4
CHEMBL637	D013406	4
CHEMBL637	D013546	4
CHEMBL637	D023341	4
CHEMBL637	D010698	4
CHEMBL637	D059020	4
CHEMBL637	D060805	4
CHEMBL637	D006970	4
CHEMBL637	D007319	4
CHEMBL89598	D004828	4
CHEMBL89598	D004831	4
CHEMBL89598	D012640	4
CHEMBL603	D004347	4
CHEMBL18537	D000163	4
CHEMBL18537	D018450	4
CHEMBL178240	D000163	4
CHEMBL178240	D003141	4
CHEMBL178240	D007153	4
CHEMBL178240	D009894	4
CHEMBL178240	D011247	4
CHEMBL178240	D064793	4
CHEMBL178240	D018450	4
CHEMBL1200679	D000505	4
CHEMBL120768	D003027	4
CHEMBL120768	D006967	4
CHEMBL120768	D006973	4
CHEMBL120768	D008881	4
CHEMBL120768	D004827	4
CHEMBL135400	D001523	4
CHEMBL1717878	D000030	4
CHEMBL1717878	D006470	4
CHEMBL1717878	D006473	4
CHEMBL1717878	D011225	4
CHEMBL1717878	D011247	4
CHEMBL1717878	D014590	4
CHEMBL1717878	D014593	4
CHEMBL1717878	D016640	4
CHEMBL1991816	D003919	4
CHEMBL1364144	D000309	4
CHEMBL1364144	D000312	4
CHEMBL1364144	D000506	4
CHEMBL1364144	D000743	4
CHEMBL1364144	D015210	4
CHEMBL1364144	D015535	4
CHEMBL1364144	D001607	4
CHEMBL1364144	D002825	4
CHEMBL1364144	D003093	4
CHEMBL1364144	D003095	4
CHEMBL1364144	D003233	4
CHEMBL1364144	D003873	4
CHEMBL1364144	D003876	4
CHEMBL1364144	D003877	4
CHEMBL1364144	D003882	4
CHEMBL1364144	D004231	4
CHEMBL1364144	D004342	4
CHEMBL1364144	D004487	4
CHEMBL1364144	D004751	4
CHEMBL1364144	D005767	4
CHEMBL1364144	D006099	4
CHEMBL1364144	D006402	4
CHEMBL1364144	D006563	4
CHEMBL1364144	D006934	4
CHEMBL1364144	D007249	4
CHEMBL1364144	D015863	4
CHEMBL1364144	D007500	4
CHEMBL1364144	D007627	4
CHEMBL1364144	D007634	4
CHEMBL1364144	D007819	4
CHEMBL1364144	D008010	4
CHEMBL1364144	D008179	4
CHEMBL1364144	D008180	4
CHEMBL1364144	D009103	4
CHEMBL1364144	D009182	4
CHEMBL1364144	D009450	4
CHEMBL1364144	D009879	4
CHEMBL1364144	D010392	4
CHEMBL1364144	D011507	4
CHEMBL1364144	D011565	4
CHEMBL1364144	D012214	4
CHEMBL1364144	D012221	4
CHEMBL1364144	D012507	4
CHEMBL1364144	D012628	4
CHEMBL1364144	D012871	4
CHEMBL1364144	D013167	4
CHEMBL1364144	D013262	4
CHEMBL1364144	D013585	4
CHEMBL1364144	D013717	4
CHEMBL1364144	D013966	4
CHEMBL1364144	D013969	4
CHEMBL1364144	D014235	4
CHEMBL1364144	D014376	4
CHEMBL1364144	D014390	4
CHEMBL1364144	D014397	4
CHEMBL1364144	D014511	4
CHEMBL1364144	D014581	4
CHEMBL1364144	D015866	4
CHEMBL1364144	D016460	4
CHEMBL1364144	D017285	4
CHEMBL1364144	D012872	4
CHEMBL1364144	D000741	4
CHEMBL1364144	D011657	4
CHEMBL1364144	D065227	4
CHEMBL1364144	D009335	4
CHEMBL1364144	D001171	4
CHEMBL4297654	D003141	4
CHEMBL4297654	D006505	4
CHEMBL4297654	D006509	4
CHEMBL4297654	D014777	4
CHEMBL90555	D001943	4
CHEMBL90555	D002607	4
CHEMBL90555	D006967	4
CHEMBL90555	D009182	4
CHEMBL90555	D018288	4
CHEMBL117785	D020820	4
CHEMBL858	D007855	4
CHEMBL858	D001927	4
CHEMBL602	D051437	4
CHEMBL1129	D006967	4
CHEMBL1129	D007634	4
CHEMBL1129	D000081028	4
CHEMBL1663	D003324	4
CHEMBL1504	D000312	4
CHEMBL1504	D000743	4
CHEMBL1504	D015535	4
CHEMBL1504	D001607	4
CHEMBL1504	D001929	4
CHEMBL1504	D003092	4
CHEMBL1504	D003240	4
CHEMBL1504	D003873	4
CHEMBL1504	D003877	4
CHEMBL1504	D003882	4
CHEMBL1504	D004231	4
CHEMBL1504	D004342	4
CHEMBL1504	D004485	4
CHEMBL1504	D005767	4
CHEMBL1504	D006259	4
CHEMBL1504	D006402	4
CHEMBL1504	D006934	4
CHEMBL1504	D006967	4
CHEMBL1504	D015212	4
CHEMBL1504	D007674	4
CHEMBL1504	D007938	4
CHEMBL1504	D008179	4
CHEMBL1504	D008180	4
CHEMBL1504	D008223	4
CHEMBL1504	D009182	4
CHEMBL1504	D009450	4
CHEMBL1504	D009879	4
CHEMBL1504	D010032	4
CHEMBL1504	D011507	4
CHEMBL1504	D011539	4
CHEMBL1504	D012010	4
CHEMBL1504	D012214	4
CHEMBL1504	D012221	4
CHEMBL1504	D012507	4
CHEMBL1504	D012628	4
CHEMBL1504	D013167	4
CHEMBL1504	D013262	4
CHEMBL1504	D013585	4
CHEMBL1504	D013966	4
CHEMBL1504	D014235	4
CHEMBL1504	D014390	4
CHEMBL1504	D014456	4
CHEMBL1504	D016460	4
CHEMBL1504	D017285	4
CHEMBL1504	D012872	4
CHEMBL1504	D001932	4
CHEMBL1504	D065227	4
CHEMBL1504	D009335	4
CHEMBL1504	D029503	4
CHEMBL1504	D011657	4
CHEMBL1504	D009402	4
CHEMBL1504	D013700	4
CHEMBL1504	D065631	4
CHEMBL1504	D001171	4
CHEMBL145704	D001749	4
CHEMBL145704	D002278	4
CHEMBL275528	D006967	4
CHEMBL275528	D006969	4
CHEMBL1200391	D000142	4
CHEMBL1200391	D006323	4
CHEMBL648	D001943	4
CHEMBL648	D008575	4
CHEMBL648	D020250	4
CHEMBL1616045	D011247	4
CHEMBL1616045	D056806	4
CHEMBL1616045	D020159	4
CHEMBL1616045	D022124	4
CHEMBL1616045	D060825	4
CHEMBL1616045	D020163	4
CHEMBL1616045	D009461	4
CHEMBL1616045	D020165	4
CHEMBL1194666	D000855	4
CHEMBL1194666	D003920	4
CHEMBL1194666	D006949	4
CHEMBL1194666	D006973	4
CHEMBL1388	D003872	4
CHEMBL1388	D008545	4
CHEMBL1388	D008548	4
CHEMBL1388	D009508	4
CHEMBL1388	D017495	4
CHEMBL1388	D017496	4
CHEMBL1388	D019080	4
CHEMBL138297	D050197	4
CHEMBL138297	D003327	4
CHEMBL138297	D006937	4
CHEMBL361506	D011020	4
CHEMBL1443	D003141	4
CHEMBL1443	D048550	4
CHEMBL28721	D007855	4
CHEMBL1370561	D001249	Not Applicable
CHEMBL1370561	D001986	4
CHEMBL1370561	D029481	4
CHEMBL1370561	D004231	4
CHEMBL1370561	D004417	4
CHEMBL1370561	D006333	4
CHEMBL1370561	D008107	4
CHEMBL1370561	D008171	4
CHEMBL1370561	D029424	4
CHEMBL1370561	D011656	4
CHEMBL1370561	D011660	4
CHEMBL1370561	D014655	4
CHEMBL757	D051437	4
CHEMBL186314	D000138	4
CHEMBL186314	D000140	4
CHEMBL186314	D000141	4
CHEMBL186314	D003681	4
CHEMBL186314	D003920	4
CHEMBL186314	D003967	4
CHEMBL186314	D006323	4
CHEMBL186314	D006947	4
CHEMBL186314	D007674	4
CHEMBL186314	D007676	4
CHEMBL186314	D012769	4
CHEMBL186314	D051437	4
CHEMBL1200367	D004948	4
CHEMBL1200367	D005901	4
CHEMBL1200367	D005902	4
CHEMBL1390	D000568	4
CHEMBL1390	D001943	4
CHEMBL1390	D002277	4
CHEMBL1390	D002292	4
CHEMBL1390	D004412	4
CHEMBL1390	D004714	4
CHEMBL1390	D004715	4
CHEMBL1390	D010146	4
CHEMBL1390	D017699	4
CHEMBL1390	D011247	4
CHEMBL1390	D049168	4
CHEMBL1390	D014592	4
CHEMBL1390	D014594	4
CHEMBL1390	D016889	4
CHEMBL1390	D019584	4
CHEMBL1390	D004414	4
CHEMBL1200406	D008575	4
CHEMBL1200826	D004231	4
CHEMBL1200826	D006791	4
CHEMBL1200826	D000087122	4
CHEMBL1200826	D019964	4
CHEMBL3277938	D015823	4
CHEMBL3277938	D001762	4
CHEMBL3277938	D015817	4
CHEMBL1744	D009765	4
CHEMBL12610	D010146	4
CHEMBL12610	D010612	4
CHEMBL1200510	D000562	4
CHEMBL1200510	D003141	4
CHEMBL1200510	D003231	4
CHEMBL1200510	D004404	4
CHEMBL1200510	D004697	4
CHEMBL1200510	D004894	4
CHEMBL1200510	D006069	4
CHEMBL1200510	D006349	4
CHEMBL1200510	D007877	4
CHEMBL1200510	D010033	4
CHEMBL1200510	D010612	4
CHEMBL1200510	D011014	4
CHEMBL1200510	D012141	4
CHEMBL1200510	D012213	4
CHEMBL1200510	D013587	4
CHEMBL1200510	D014917	4
CHEMBL1200510	D018461	4
CHEMBL1200510	D000292	4
CHEMBL1200510	D051437	4
CHEMBL1200510	C536772	4
CHEMBL1200660	D005901	Not Applicable
CHEMBL1200660	D003324	4
CHEMBL1200453	D006560	4
CHEMBL1200453	D011247	4
CHEMBL1200453	D064793	4
CHEMBL22097	D019966	4
CHEMBL159	D002277	4
CHEMBL159	C538636	4
CHEMBL1200458	D053040	4
CHEMBL1232767	D000163	4
CHEMBL1232767	D003807	4
CHEMBL1232767	D005458	4
CHEMBL1232767	D006967	4
CHEMBL1232767	D014987	4
CHEMBL1232767	D052016	4
CHEMBL3182097	D001249	4
CHEMBL3182097	D016470	4
CHEMBL3182097	D002819	4
CHEMBL3182097	D003141	4
CHEMBL3182097	D006255	4
CHEMBL3182097	D006967	4
CHEMBL3182097	D010612	4
CHEMBL3182097	D010874	4
CHEMBL3182097	D012213	4
CHEMBL3182097	D012214	4
CHEMBL3182097	D013290	4
CHEMBL3182097	D013587	4
CHEMBL3182097	D014581	4
CHEMBL3182097	D015001	4
CHEMBL1079604	D000740	4
CHEMBL1079604	D006967	4
CHEMBL540851	D001145	4
CHEMBL540851	D001201	4
CHEMBL540851	D004231	4
CHEMBL540851	D004487	4
CHEMBL540851	D006327	4
CHEMBL540851	D006333	4
CHEMBL540851	D006973	4
CHEMBL540851	D007008	4
CHEMBL540851	D007508	4
CHEMBL540851	D008103	4
CHEMBL540851	D008107	4
CHEMBL540851	D000075222	4
CHEMBL1497	D003877	4
CHEMBL1497	D007249	4
CHEMBL1497	D009450	4
CHEMBL1497	D012628	4
CHEMBL1497	D063807	4
CHEMBL1057	D065306	4
CHEMBL117470	D000753	4
CHEMBL117470	D000754	4
CHEMBL117470	D015470	4
CHEMBL117470	D015477	4
CHEMBL117470	D008107	4
CHEMBL1796998	D003324	4
CHEMBL290686	D011471	4
CHEMBL4071215	D000163	4
CHEMBL4071215	D000855	4
CHEMBL4071215	D002100	4
CHEMBL4071215	D013851	4
CHEMBL4071215	D001943	4
CHEMBL1646	D006967	4
CHEMBL63427	D012871	4
CHEMBL1200384	D003877	4
CHEMBL1200384	D007402	4
CHEMBL1200384	D008010	4
CHEMBL1200384	D009450	4
CHEMBL1201104	D003141	4
CHEMBL1201104	D014552	4
CHEMBL1200936	D003141	4
CHEMBL1200936	D005892	4
CHEMBL1200936	D006069	4
CHEMBL1200936	D010612	4
CHEMBL1200936	D011008	4
CHEMBL1200936	D012541	4
CHEMBL1200936	D013203	4
CHEMBL1200936	D013290	4
CHEMBL1200936	D013587	4
CHEMBL1200936	D012141	4
CHEMBL460	D000071057	4
CHEMBL1201279	D006527	4
CHEMBL1201279	D008107	4
CHEMBL2021423	D006996	4
CHEMBL2021423	D013746	4
CHEMBL2105897	D004940	4
CHEMBL1233550	D001249	4
CHEMBL1233550	D001991	4
CHEMBL1233550	D002277	4
CHEMBL1233550	D006980	4
CHEMBL1233550	D008171	4
CHEMBL1233550	D009362	4
CHEMBL1233550	D011656	4
CHEMBL12318	D001249	4
CHEMBL12318	D003424	4
CHEMBL12318	D006934	4
CHEMBL12318	D006967	4
CHEMBL12318	D009101	4
CHEMBL12318	C562390	4
CHEMBL294951	D018781	4
CHEMBL294951	D014653	4
CHEMBL1311	D009203	4
CHEMBL1311	D017202	4
CHEMBL4088679	D001986	4
CHEMBL4088679	D001250	4
CHEMBL264448	D002836	4
CHEMBL264448	D003919	4
CHEMBL264448	D004231	4
CHEMBL264448	D004775	4
CHEMBL264448	D006259	4
CHEMBL264448	D006395	4
CHEMBL264448	D006467	4
CHEMBL264448	D006470	4
CHEMBL264448	D008595	4
CHEMBL264448	D053158	4
CHEMBL264448	D011141	4
CHEMBL264448	D012222	4
CHEMBL264448	D014842	4
CHEMBL264448	D059606	4
CHEMBL264448	D018500	4
CHEMBL264448	D053206	4
CHEMBL264448	D020790	4
CHEMBL264448	D000086722	4
CHEMBL1234004	D000374	4
CHEMBL1234004	D001714	4
CHEMBL1234004	D006791	4
CHEMBL1234004	D000087122	4
CHEMBL4297088	D003141	4
CHEMBL4297088	D005884	4
CHEMBL4297088	D005891	4
CHEMBL4297088	D007249	4
CHEMBL444186	D001943	4
CHEMBL444186	D009202	4
CHEMBL508102	D006980	4
CHEMBL1410743	D000430	4
CHEMBL1410743	D001007	4
CHEMBL1410743	D010146	4
CHEMBL1410743	D013742	4
CHEMBL1201388	D000224	4
CHEMBL1201388	D001943	4
CHEMBL1201388	D007024	4
CHEMBL1201388	D047808	4
CHEMBL1291	D009798	4
CHEMBL1981292	D007246	4
CHEMBL1981292	D014592	4
CHEMBL1981292	D016889	4
CHEMBL926	D001281	4
CHEMBL926	D006331	4
CHEMBL926	D020521	4
CHEMBL926	D016534	4
CHEMBL926	D014655	4
CHEMBL1200901	D003141	4
CHEMBL1200901	D008288	4
CHEMBL4073796	D018856	4
CHEMBL264374	D003324	4
CHEMBL264374	D006937	4
CHEMBL264374	D006949	4
CHEMBL264374	D006953	4
CHEMBL264374	D010195	4
CHEMBL264374	D051437	4
CHEMBL264374	D050171	4
CHEMBL264374	D058226	4
CHEMBL111461	D007249	4
CHEMBL111461	D014606	4
CHEMBL1200629	D009126	4
CHEMBL2218896	D001523	4
CHEMBL2218896	D000437	4
CHEMBL2218896	D019966	4
CHEMBL600685	D012532	4
CHEMBL1909298	D015746	4
CHEMBL1909298	D043183	4
CHEMBL430483	D049168	4
CHEMBL430483	D050177	4
CHEMBL430483	D004347	4
CHEMBL3186098	D000013	4
CHEMBL3186098	D006261	4
CHEMBL3186098	D007644	4
CHEMBL3186098	D008010	4
CHEMBL3186098	D008223	4
CHEMBL3186098	D011565	4
CHEMBL1401	D007153	4
CHEMBL20225	D002278	4
CHEMBL404271	D003920	4
CHEMBL404271	D003924	Not Applicable
CHEMBL1148	D004231	4
CHEMBL1148	D007674	4
CHEMBL1148	D008107	4
CHEMBL1148	D051437	4
CHEMBL1200733	D001049	4
CHEMBL1200733	D003371	4
CHEMBL67128	D003876	4
CHEMBL67128	D012871	4
CHEMBL1201175	D003233	4
CHEMBL1201175	D006969	4
CHEMBL1201175	D007634	4
CHEMBL1201175	D007637	4
CHEMBL1201266	D003233	4
CHEMBL1201266	D007634	4
CHEMBL1200527	D009126	4
CHEMBL1200398	D003141	4
CHEMBL1200398	D004347	4
CHEMBL1200398	D002181	4
CHEMBL284906	D000787	Not Applicable
CHEMBL284906	D003329	4
CHEMBL284906	D017202	4
CHEMBL2133738	D000740	4
CHEMBL2133738	D001943	4
CHEMBL2133738	D004715	4
CHEMBL2133738	D008595	4
CHEMBL2133738	D008796	4
CHEMBL2133738	D009362	4
CHEMBL2133738	D010146	4
CHEMBL2133738	D007889	4
CHEMBL2133738	D011471	4
CHEMBL1876307	D012871	4
CHEMBL746	D001250	4
CHEMBL746	D001986	4
CHEMBL746	D003371	4
CHEMBL746	D009503	4
CHEMBL746	D016535	4
CHEMBL634	D015877	4
CHEMBL634	D009127	4
CHEMBL634	D051437	4
CHEMBL634	D014839	4
CHEMBL634	D012131	4
CHEMBL634	D005059	4
CHEMBL634	D001919	4
CHEMBL634	D020250	4
CHEMBL1527329	D003924	4
CHEMBL1029	D006967	4
CHEMBL1605443	D008107	4
CHEMBL1200331	D001437	4
CHEMBL1200331	D014552	4
CHEMBL1064	D000437	4
CHEMBL1064	D000787	4
CHEMBL1064	D002561	4
CHEMBL1064	D006952	4
CHEMBL1064	D006953	4
CHEMBL1064	D007037	4
CHEMBL1064	D007871	4
CHEMBL1064	D008107	4
CHEMBL1064	D008572	4
CHEMBL1064	D008594	4
CHEMBL1064	D009404	4
CHEMBL1064	D016491	Not Applicable
CHEMBL1064	D058226	4
CHEMBL1064	D000090542	4
CHEMBL1702	D001523	4
CHEMBL1702	D003128	4
CHEMBL1702	D003693	4
CHEMBL1702	D004827	4
CHEMBL1702	D005334	4
CHEMBL1702	D015812	4
CHEMBL1702	D006967	4
CHEMBL1702	D009127	4
CHEMBL1702	D015878	4
CHEMBL1702	D009207	4
CHEMBL1702	D009459	4
CHEMBL1702	D011618	4
CHEMBL1702	D001289	4
CHEMBL1702	D048550	4
CHEMBL1200534	D006973	4
CHEMBL1201405	D000799	4
CHEMBL1201405	D007674	4
CHEMBL1201405	D000075222	4
CHEMBL1237129	D005356	4
CHEMBL1237129	D003865	4
CHEMBL919	D002526	4
CHEMBL919	D003221	4
CHEMBL919	D003693	4
CHEMBL919	D004827	4
CHEMBL919	D006943	4
CHEMBL919	D011618	4
CHEMBL919	D012640	4
CHEMBL919	D013226	4
CHEMBL919	D001927	4
CHEMBL919	D008107	4
CHEMBL1082607	D001249	4
CHEMBL1082607	D001986	4
CHEMBL1082607	D029481	4
CHEMBL1082607	D001250	4
CHEMBL1082607	D029424	4
CHEMBL1082607	D011656	4
CHEMBL1404	D003920	4
CHEMBL1404	D006333	Not Applicable
CHEMBL1404	D029424	4
CHEMBL1404	D060050	4
CHEMBL1404	D008173	4
CHEMBL1404	D051437	4
CHEMBL1282	D001478	4
CHEMBL1282	D007642	4
CHEMBL1282	D008976	4
CHEMBL1282	D010212	4
CHEMBL1282	D014983	4
CHEMBL1282	D016867	4
CHEMBL104383	D010300	4
CHEMBL104383	D012148	4
CHEMBL1201198	D011537	4
CHEMBL1400561	D004827	4
CHEMBL1400561	D004830	4
CHEMBL1400561	D004831	4
CHEMBL1400561	D012640	4
CHEMBL1400561	C562694	4
CHEMBL1400561	D020190	4
CHEMBL1400561	D000069279	4
CHEMBL1400561	D051437	4
CHEMBL768	D001282	4
CHEMBL768	D013610	4
CHEMBL768	D013616	4
CHEMBL768	D003324	4
CHEMBL484	D006509	4
CHEMBL484	D008107	4
CHEMBL484	D014777	4
CHEMBL1200374	D008231	4
CHEMBL93	D008107	4
CHEMBL1200402	D000787	4
CHEMBL1200402	D000788	4
CHEMBL1200402	D003920	4
CHEMBL1200402	D006333	4
CHEMBL1200402	D006973	4
CHEMBL1200402	D007022	4
CHEMBL1200402	D029424	4
CHEMBL1200402	D016491	4
CHEMBL1200402	D017202	4
CHEMBL1200402	D060050	4
CHEMBL1200402	D003324	4
CHEMBL152	D000163	4
CHEMBL152	D005759	4
CHEMBL152	D011014	4
CHEMBL152	D012173	4
CHEMBL3187455	D001145	4
CHEMBL3187455	D001281	4
CHEMBL3187455	D001282	4
CHEMBL296480	D000163	4
CHEMBL296480	D018450	4
CHEMBL1112	D001523	4
CHEMBL1112	D020820	4
CHEMBL1112	D007508	4
CHEMBL1112	D007565	4
CHEMBL1112	D012561	4
CHEMBL1112	D000087122	4
CHEMBL1200328	D001007	4
CHEMBL1200328	D001008	4
CHEMBL1200328	D003866	4
CHEMBL1200328	D005221	4
CHEMBL1200328	D005356	4
CHEMBL1200328	D006167	4
CHEMBL1200328	D006967	4
CHEMBL1200328	D007508	4
CHEMBL1200328	D017116	4
CHEMBL1200328	D059352	4
CHEMBL1200328	D009437	4
CHEMBL1200328	D010003	4
CHEMBL1200328	D011247	4
CHEMBL1200328	D013406	4
CHEMBL1200328	D014550	4
CHEMBL1200328	D014570	4
CHEMBL1200328	D059350	4
CHEMBL1200328	D059020	4
CHEMBL1200328	D006970	4
CHEMBL1200328	D007319	4
CHEMBL1200328	D003865	4
CHEMBL997	D001249	4
CHEMBL997	D004415	4
CHEMBL997	D050723	4
CHEMBL997	D005767	4
CHEMBL997	D006934	4
CHEMBL997	D010437	4
CHEMBL997	D058866	4
CHEMBL1375743	D001714	4
CHEMBL1375743	D001943	4
CHEMBL1375743	D003645	4
CHEMBL1375743	D003920	4
CHEMBL1375743	D005076	4
CHEMBL1375743	D006331	4
CHEMBL1375743	D007508	4
CHEMBL1375743	D009203	4
CHEMBL1375743	D010911	4
CHEMBL1375743	D011618	4
CHEMBL1375743	D012559	4
CHEMBL1375743	D012640	4
CHEMBL1375743	D016171	4
CHEMBL1375743	D008133	4
CHEMBL1375743	D000087122	4
CHEMBL1375743	D003704	4
CHEMBL818	D002277	4
CHEMBL818	D006965	4
CHEMBL818	C536914	4
CHEMBL922	D003141	4
CHEMBL922	D005355	4
CHEMBL922	D006509	4
CHEMBL922	D007249	4
CHEMBL922	D008107	4
CHEMBL922	D051437	4
CHEMBL885	D000437	4
CHEMBL885	D003141	4
CHEMBL885	D012749	4
CHEMBL885	D051437	4
CHEMBL1200448	D010001	4
CHEMBL1773	D006932	4
CHEMBL1773	D066126	4
CHEMBL1773	D051437	4
CHEMBL2096650	D004417	4
CHEMBL2096650	D006261	4
CHEMBL2096650	D009325	4
CHEMBL2096650	D012640	4
CHEMBL2096650	D013610	4
CHEMBL2096650	D014474	4
CHEMBL2096650	D014839	4
CHEMBL2096650	D001919	4
CHEMBL1200747	D011537	4
