drug	target
CHEMBL3545432	ENSG00000101182
CHEMBL3545432	ENSG00000154611
CHEMBL3545432	ENSG00000205220
CHEMBL3545432	ENSG00000222028
CHEMBL3545432	ENSG00000277791
CHEMBL3545432	ENSG00000159377
CHEMBL3545432	ENSG00000136930
CHEMBL3545432	ENSG00000130706
CHEMBL3545432	ENSG00000161057
CHEMBL3545432	ENSG00000100764
CHEMBL3545432	ENSG00000013275
CHEMBL3545432	ENSG00000100519
CHEMBL3545432	ENSG00000165916
CHEMBL3545432	ENSG00000087191
CHEMBL3545432	ENSG00000175166
CHEMBL3545432	ENSG00000108344
CHEMBL3545432	ENSG00000197170
CHEMBL3545432	ENSG00000108671
CHEMBL3545432	ENSG00000163636
CHEMBL3545432	ENSG00000103035
CHEMBL3545432	ENSG00000185627
CHEMBL3545432	ENSG00000159352
CHEMBL3545432	ENSG00000099341
CHEMBL3545432	ENSG00000127922
CHEMBL1201513	ENSG00000117601
CHEMBL1194	ENSG00000144285
CHEMBL1194	ENSG00000183873
CHEMBL1194	ENSG00000007314
CHEMBL1194	ENSG00000136546
CHEMBL1194	ENSG00000136531
CHEMBL1194	ENSG00000169432
CHEMBL1194	ENSG00000153253
CHEMBL1194	ENSG00000168356
CHEMBL1194	ENSG00000196876
CHEMBL1194	ENSG00000185313
CHEMBL1200686	ENSG00000088832
CHEMBL1200973	ENSG00000091831
CHEMBL4297856	ENSG00000188389
CHEMBL1908391	ENSG00000157404
CHEMBL2108583	ENSG00000077238
CHEMBL2108583	ENSG00000131724
CHEMBL1200694	ENSG00000169427
CHEMBL2347655	ENSG00000138160
CHEMBL4297938	ENSG00000188229
CHEMBL4297938	ENSG00000101162
CHEMBL4297938	ENSG00000198033
CHEMBL4297938	ENSG00000127824
CHEMBL4297938	ENSG00000258947
CHEMBL4297938	ENSG00000167552
CHEMBL4297938	ENSG00000104833
CHEMBL4297938	ENSG00000261456
CHEMBL4297938	ENSG00000196230
CHEMBL4297938	ENSG00000123416
CHEMBL4297938	ENSG00000167553
CHEMBL4297938	ENSG00000152086
CHEMBL4297938	ENSG00000137267
CHEMBL4297938	ENSG00000137285
CHEMBL4297938	ENSG00000176014
CHEMBL85	ENSG00000102468
CHEMBL258940	ENSG00000146648
CHEMBL1201013	ENSG00000012779
CHEMBL425	ENSG00000012779
CHEMBL3137351	ENSG00000115232
CHEMBL3137351	ENSG00000139626
CHEMBL4297863	ENSG00000232810
CHEMBL1200964	ENSG00000103546
CHEMBL629	ENSG00000103546
CHEMBL14762	ENSG00000136807
CHEMBL14370	ENSG00000103546
CHEMBL2105635	ENSG00000004948
CHEMBL2105635	ENSG00000132329
CHEMBL1200419	ENSG00000102468
CHEMBL460	ENSG00000102468
CHEMBL1200959	ENSG00000196639
CHEMBL1231160	ENSG00000144744
CHEMBL1231160	ENSG00000159593
CHEMBL1761	ENSG00000168539
CHEMBL86715	ENSG00000168539
CHEMBL491473	ENSG00000157404
CHEMBL2206292	ENSG00000101180
CHEMBL2103799	ENSG00000114859
CHEMBL4297436	ENSG00000096717
CHEMBL1201631	ENSG00000171105
CHEMBL190333	ENSG00000112062
CHEMBL4297404	ENSG00000186951
CHEMBL3545009	ENSG00000128271
CHEMBL3545272	ENSG00000133019
CHEMBL3707397	ENSG00000196689
CHEMBL4298086	ENSG00000106804
CHEMBL601719	ENSG00000105976
CHEMBL2107846	ENSG00000104689
CHEMBL2108324	ENSG00000171791
